"image_id","folder","image_url","pp_pred","ps_pred","trim_pred","collected_by"
"869118","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/869118.jpg","none","none","banded","trim"
"1225461","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1225461.jpg","none","medium","standard","ps"
"1063895","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1063895.jpg","none","none","banded","trim"
"615239","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/615239.jpg","none","small","raw","trim,ps"
"35467","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/35467.jpg","none","none","banded","trim"
"132391","resort","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/resort/132391.jpg","allover","none","standard","pp"
"361440","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/361440.jpg","none","none","banded","trim"
"463528","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/463528.jpg","none","medium","banded","trim,ps"
"1352423","etc","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/etc/1352423.jpg","none","none","banded","trim"
"1720","feminine","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/feminine/1720.jpg","allover","small","banded","trim,pp,ps"
"476312","retro","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/retro/476312.jpg","allover","medium","raw","trim,pp,ps"
"266406","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/266406.jpg","none","none","banded","trim"
"833676","resort","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/resort/833676.jpg","allover","medium","standard","pp,ps"
"204503","feminine","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/feminine/204503.jpg","none","medium","standard","ps"
"583197","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/583197.jpg","none","medium","standard","ps"
"303099","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/303099.jpg","none","medium","standard","ps"
"1120270","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1120270.jpg","none","none","banded","trim"
"1032628","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1032628.jpg","none","none","banded","trim"
"398255","country","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/country/398255.jpg","none","none","banded","trim"
"604956","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/604956.jpg","none","none","banded","trim"
"1026339","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1026339.jpg","none","none","unknown","trim"
"1131494","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1131494.jpg","none","small","banded","trim,ps"
"829378","resort","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/resort/829378.jpg","none","none","banded","trim"
"996853","western","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/western/996853.jpg","none","small","standard","ps"
"126909","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/126909.jpg","none","none","raw","trim"
"1278019","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/1278019.jpg","allover","medium","standard","pp,ps"
"1007719","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1007719.jpg","none","small","standard","ps"
"45694","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/45694.jpg","none","none","banded","trim"
"1019001","country","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/country/1019001.jpg","none","small","standard","ps"
"85825","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/85825.jpg","none","none","raw","trim"
"1138167","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1138167.jpg","none","none","banded","trim"
"423671","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/423671.jpg","none","none","banded","trim"
"956641","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/956641.jpg","none","none","banded","trim"
"769673","mannish","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/mannish/769673.jpg","none","none","banded","trim"
"383968","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/383968.jpg","none","medium","standard","ps"
"1259396","classic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/classic/1259396.jpg","none","none","banded","trim"
"955642","country","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/country/955642.jpg","none","none","banded","trim"
"345126","mannish","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/mannish/345126.jpg","none","none","banded","trim"
"1170204","sophisticated","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/sophisticated/1170204.jpg","none","none","banded","trim"
"493775","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/493775.jpg","none","none","banded","trim"
"315094","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/315094.jpg","allover","medium","standard","pp,ps"
"1209622","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1209622.jpg","none","none","banded","trim"
"825301","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/825301.jpg","none","small","banded","trim,ps"
"1345850","feminine","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/feminine/1345850.jpg","none","none","banded","trim"
"374141","preppy","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/preppy/374141.jpg","none","none","banded","trim"
"817631","classic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/classic/817631.jpg","none","medium","standard","ps"
