"image_id","folder","image_url","masking_url","length_pred","waist_pred","length_conf","waist_conf","total_conf"
"1040108","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1040108.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1040108_bottom.jpg","판별불가","normal","0.2328","0.4903","0.7232"
"820066","feminine","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/feminine/820066.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/820066_bottom.jpg","발목","판별불가","0.315","0.4653","0.7802"
"1215115","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/1215115.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1215115_bottom.jpg","미디","normal","0.367","0.4209","0.7879"
"682290","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/682290.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/682290_bottom.jpg","숏","판별불가","0.3018","0.3832","0.6849"
"1098035","sophisticated","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/sophisticated/1098035.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1098035_bottom.jpg","카프리","normal","0.2638","0.5279","0.7917"
"238256","feminine","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/feminine/238256.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/238256_bottom.jpg","초숏","하이웨이스트","0.3376","0.4519","0.7896"
"391855","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/391855.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/391855_bottom.jpg","버뮤다","판별불가","0.3518","0.3963","0.7481"
"102391","sophisticated","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/sophisticated/102391.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/102391_bottom.jpg","맥시","normal","0.3425","0.4578","0.8004"
"816878","feminine","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/feminine/816878.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/816878_bottom.jpg","판별불가","판별불가","0.3005","0.4498","0.7504"
"1162958","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/1162958.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1162958_bottom.jpg","발목","normal","0.3499","0.4517","0.8016"
"1283624","hippie","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/hippie/1283624.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1283624_bottom.jpg","미디","판별불가","0.4139","0.4163","0.8302"
"1294836","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/1294836.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1294836_bottom.jpg","숏","normal","0.3074","0.5121","0.8195"
"1216215","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/1216215.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1216215_bottom.jpg","카프리","normal","0.3565","0.4379","0.7944"
"1298683","resort","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/resort/1298683.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1298683_bottom.jpg","초숏","normal","0.362","0.5116","0.8736"
"231706","street","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/street/231706.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/231706_bottom.jpg","버뮤다","판별불가","0.2488","0.5064","0.7552"
"917470","resort","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/resort/917470.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/917470_bottom.jpg","맥시","판별불가","0.2416","0.5781","0.8197"
"58420","classic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/classic/58420.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/58420_bottom.jpg","판별불가","normal","0.3887","0.402","0.7907"
"67647","modern","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/modern/67647.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/67647_bottom.jpg","발목","normal","0.2273","0.5883","0.8156"
"1216524","romantic","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/image/romantic/1216524.jpg","https://pub-5966bf5d84f948c983500b6d9547eec9.r2.dev/masking_data/1216524_bottom.jpg","미디","normal","0.408","0.4322","0.8402"
